Portuguese,English
que,what
não,no
você,you
eu,I
um,one
para,for
se,if
com,with
por,per
ele,he
isso,that
em,in
do,of
mas,but
como,as
bem,good
ela,she
sim,Yes
aqui,here
mais,more
meu,my
seu,your
muito,very
foi,was
estou,I am
vamos,let's go
tudo,all
meu,my
só,only
então,then
pode,can
agora,now
ser,to be
quando,when
fazer,to do
eles,they
nós,us
tenho,I have
certo,right
quer,want
saber,know
já,already
era,it was
quem,who
ou,or
ao,to the
nada,anything
disse,said
há,there is
lá,there
onde,where
quero,I want
bom,good
ter,to have
sou,I am
são,they are
dizer,to say
posso,I can
acho,I think
sobre,about
mim,me
por que,why
mesmo,same
coisa,thing
todos,all
estão,they are
algo,something
até,until
tempo,time
assim,like this
nunca,Never
vocês,you
esse,that
casa,House
que,what
essa,that
ver,to see
também,also
ainda,yet
tão,so
cara,face
favor,favor
ir,go
melhor,better
noite,night
sem,without
temos,we have
obrigado,thanks
dia,day
talvez,perhaps
pai,father
estamos,we are
deus,God
alguém,somebody
mãe,mother
vida,life
senhor,sir
este,This one
isto,this
sempre,ever
anos,years
vez,turn
verdade,true
ficar,to stay
parece,looks
depois,after
falar,to speak
coisas,things
antes,before
pessoas,people
pouco,little
apenas,just
homem,man
nem,nor
boa,good
dois,two
fazendo,doing
todo,all
lugar,place
fora,outside
estar,be
qual,which
trabalho,work
hoje,today
ninguém,nobody
novo,new
comigo,with me
mundo,world
saber,to know
alguma,some
dar,to give
podemos,we can
grande,big
sinto,I feel
nosso,our
poderia,it could
dinheiro,money
nome,name
quanto,how much
qualquer,any
outro,other
dela,her
nosso,our
meu,my
desculpe,sorry
filho,son
certeza,certainty
hora,hour
sair,to go out
